 1) database/database/table.tsv
 2)
 3) contains tab-separated seed data for table:
 4)
 5) 	table
 6)
 7) in MySQL database:
 8)
 9) 	database
10)
11)
12) Row definition adheres to the syntax:
13)
14) id<TAB>column<NEWLINE>
15)
16) ╔═══════════════════════════════════════════╗
17) ║ LINES 1 THROUGH 18 ARE IGNORED BY LOADER! ║
18) ╚═══════════════════════════════════════════╝
1	column1
2	column2
3	column3
4	column4
5	column5
6	column6
7	column7
8	column8
9	column9
10	column10
11	column11
12	column12
