 1) database/db1/tbl1.csv
 2)
 3) contains comma-separated seed data for table:
 4)
 5) 	tbl1
 6)
 7) in MySQL database:
 8)
 9) 	db1
10)
11) Row definition adheres to the syntax:
12)
13) id,col1<NEWLINE>
14)
15) ╔═══════════════════════════════════════════╗
16) ║ LINES 1 THROUGH 17 ARE IGNORED BY LOADER! ║
17) ╚═══════════════════════════════════════════╝
1,col11
2,col12
3,col13
4,col14
5,col15
6,col16
7,col17
8,col18
9,col19
10,col110
11,col111
12,col112
13,col113
14,col114
15,col115
16,col116
17,col117
18,col118
19,col119
20,col120
21,col121
22,col122
23,col123
24,col124
25,col125
26,col126
27,col127
28,col128
29,col129
30,col130
31,col131
32,col132
33,col133
34,col134
35,col135
36,col136
37,col137
38,col138
39,col139
40,col140
41,col141
42,col142
43,col143
44,col144
45,col145
46,col146
47,col147
48,col148
49,col149
50,col150
51,col151
52,col152
53,col153
54,col154
55,col155
56,col156
57,col157
58,col158
59,col159
60,col160
61,col161
62,col162
63,col163
64,col164
65,col165
66,col166
67,col167
68,col168
69,col169
70,col170
71,col171
72,col172
73,col173
74,col174
75,col175
76,col176
77,col177
78,col178
79,col179
80,col180
81,col181
82,col182
83,col183
84,col184
85,col185
86,col186
87,col187
88,col188
89,col189
90,col190
91,col191
92,col192
93,col193
94,col194
95,col195
96,col196
97,col197
98,col198
99,col199
100,col1100
101,col1101
102,col1102
103,col1103
104,col1104
105,col1105
106,col1106
107,col1107
108,col1108
109,col1109
110,col1110
111,col1111
112,col1112
113,col1113
114,col1114
115,col1115
116,col1116
117,col1117
118,col1118
119,col1119
120,col1120
121,col1121
122,col1122
123,col1123
124,col1124
125,col1125
126,col1126
127,col1127
128,col1128
129,col1129
130,col1130
131,col1131
132,col1132
133,col1133
134,col1134
135,col1135
136,col1136
137,col1137
138,col1138
139,col1139
140,col1140
141,col1141
142,col1142
143,col1143
144,col1144
145,col1145
146,col1146
147,col1147
148,col1148
149,col1149
150,col1150
151,col1151
152,col1152
153,col1153
154,col1154
155,col1155
156,col1156
157,col1157
158,col1158
159,col1159
160,col1160
161,col1161
162,col1162
163,col1163
164,col1164
165,col1165
166,col1166
167,col1167
168,col1168
169,col1169
170,col1170
171,col1171
172,col1172
173,col1173
174,col1174
175,col1175
176,col1176
177,col1177
178,col1178
179,col1179
180,col1180
181,col1181
182,col1182
183,col1183
184,col1184
185,col1185
186,col1186
187,col1187
188,col1188
189,col1189
190,col1190
191,col1191
192,col1192
193,col1193
194,col1194
195,col1195
196,col1196
197,col1197
198,col1198
199,col1199
200,col1200
201,col1201
202,col1202
203,col1203
204,col1204
205,col1205
206,col1206
207,col1207
208,col1208
209,col1209
210,col1210
211,col1211
212,col1212
213,col1213
214,col1214
215,col1215
216,col1216
217,col1217
218,col1218
219,col1219
220,col1220
221,col1221
222,col1222
223,col1223
224,col1224
225,col1225
226,col1226
227,col1227
228,col1228
229,col1229
230,col1230
231,col1231
232,col1232
233,col1233
234,col1234
235,col1235
236,col1236
237,col1237
238,col1238
239,col1239
240,col1240
241,col1241
242,col1242
243,col1243
244,col1244
245,col1245
246,col1246
