 1) database/foo_forum/threads.csv
 2)
 3) contains comma-separated seed data for table:
 4)
 5) 	threads
 6)
 7) in MySQL database:
 8)
 9) 	foo_forum
10)
11) Row definition adheres to the syntax:
12)
13) id,user_id,title,score,created_at<NEWLINE>
14)
15) ╔═══════════════════════════════════════════╗
16) ║ LINES 1 THROUGH 17 ARE IGNORED BY LOADER! ║
17) ╚═══════════════════════════════════════════╝
1,1,Some Interesting Topic Number 1,157,2016-09-13 15:55:38
2,1,Some Interesting Topic Number 2,943,2016-09-13 15:55:39
3,1,Some Interesting Topic Number 3,-24,2016-09-13 15:55:40
4,1,Some Interesting Topic Number 4,382,2016-09-13 15:55:41
5,1,Some Interesting Topic Number 5,592,2016-09-13 15:55:42
6,1,Some Interesting Topic Number 6,187,2016-09-13 15:55:43
7,1,Some Interesting Topic Number 7,53,2016-09-13 15:55:44
8,1,Some Interesting Topic Number 8,404,2016-09-13 15:55:45
9,1,Some Interesting Topic Number 9,382,2016-09-13 15:55:46
10,1,Some Interesting Topic Number 10,62,2016-09-13 15:55:47
11,2,Some Interesting Topic Number 11,844,2016-09-13 15:55:48
12,2,Some Interesting Topic Number 12,731,2016-09-13 15:55:49
13,2,Some Interesting Topic Number 13,-47,2016-09-13 15:55:50
14,2,Some Interesting Topic Number 14,16,2016-09-13 15:55:51
15,2,Some Interesting Topic Number 15,906,2016-09-13 15:55:52
16,2,Some Interesting Topic Number 16,211,2016-09-13 15:55:53
17,2,Some Interesting Topic Number 17,518,2016-09-13 15:55:54
18,2,Some Interesting Topic Number 18,916,2016-09-13 15:55:55
19,2,Some Interesting Topic Number 19,86,2016-09-13 15:55:56
20,2,Some Interesting Topic Number 20,555,2016-09-13 15:55:57
21,3,Some Interesting Topic Number 21,227,2016-09-13 15:55:58
22,3,Some Interesting Topic Number 22,91,2016-09-13 15:55:59
23,3,Some Interesting Topic Number 23,886,2016-09-13 15:56:00
24,3,Some Interesting Topic Number 24,254,2016-09-13 15:56:01
25,3,Some Interesting Topic Number 25,7,2016-09-13 15:56:02
26,3,Some Interesting Topic Number 26,125,2016-09-13 15:56:03
27,3,Some Interesting Topic Number 27,890,2016-09-13 15:56:04
28,3,Some Interesting Topic Number 28,789,2016-09-13 15:56:05
29,3,Some Interesting Topic Number 29,625,2016-09-13 15:56:06
30,3,Some Interesting Topic Number 30,775,2016-09-13 15:56:07
31,4,Some Interesting Topic Number 31,793,2016-09-13 15:56:08
32,4,Some Interesting Topic Number 32,53,2016-09-13 15:56:09
33,4,Some Interesting Topic Number 33,509,2016-09-13 15:56:10
34,4,Some Interesting Topic Number 34,633,2016-09-13 15:56:11
35,4,Some Interesting Topic Number 35,457,2016-09-13 15:56:12
36,4,Some Interesting Topic Number 36,899,2016-09-13 15:56:13
37,4,Some Interesting Topic Number 37,89,2016-09-13 15:56:14
38,4,Some Interesting Topic Number 38,401,2016-09-13 15:56:15
39,4,Some Interesting Topic Number 39,458,2016-09-13 15:56:16
40,4,Some Interesting Topic Number 40,831,2016-09-13 15:56:17
41,5,Some Interesting Topic Number 41,914,2016-09-13 15:56:18
